payment_id,account_id,amount,business_date,attributed_last_channel,attributed_first_channel,attributed_agent,attributed_campaign,attribution_type,confidence
PAYMENT0000005,ACC0001770,115148.46,2026-03-03,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000006,ACC0002408,142468.84,2026-05-25,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000007,ACC0017147,79641.72,2026-05-08,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000008,ACC0027360,80638.15,2026-01-16,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000009,ACC0005092,75028.44,2026-03-31,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000010,ACC0011343,80004.84,2026-07-21,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000011,ACC0022813,27561.35,2026-06-13,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000013,ACC0026504,41543.11,2026-05-06,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000014,ACC0017077,12762.88,2026-03-08,FIELD_VISIT,FIELD_VISIT,AGT0000618,FIELD_CAMPAIGN,SINGLE_TOUCH,0.92
PAYMENT0000015,ACC0003730,15237.53,2026-01-25,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000016,ACC0005478,128395.49,2026-06-30,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000017,ACC0025191,112272.64,2026-06-02,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000018,ACC0000379,18292.79,2026-06-15,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000019,ACC0028404,102897.37,2026-02-19,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000021,ACC0021407,145099.11,2026-05-06,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000023,ACC0017680,139033.39,2026-02-14,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000025,ACC0016158,26782.35,2026-05-23,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000027,ACC0025045,126430.03,2026-06-22,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000029,ACC0001438,119423.32,2026-07-30,WHATSAPP,WHATSAPP,DIGITAL_BOT,DIGITAL_CAMPAIGN,SINGLE_TOUCH,0.85
PAYMENT0000030,ACC0002796,107924.04,2026-04-07,FIELD_VISIT,FIELD_VISIT,AGT0000626,FIELD_CAMPAIGN,SINGLE_TOUCH,0.92
PAYMENT0000031,ACC0006749,16764.69,2026-07-07,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000034,ACC0024694,57677.55,2026-06-01,VOICE_CALL,WHATSAPP,AGT0000432,CMP0000074,MULTI_TOUCH,0.92
PAYMENT0000035,ACC0015056,37838.14,2026-01-10,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000038,ACC0019855,96614.79,2026-07-13,VOICE_CALL,VOICE_CALL,nan,CMP0000090,SINGLE_TOUCH,0.92
PAYMENT0000039,ACC0012581,21486.61,2026-06-19,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000040,ACC0010832,144290.21,2026-04-16,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000041,ACC0025956,94558.06,2026-04-28,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000042,ACC0009797,18096.51,2026-06-11,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000044,ACC0015075,24965.91,2026-06-02,SMS,SMS,DIGITAL_SMS,SMS_CAMPAIGN,SINGLE_TOUCH,0.85
PAYMENT0000045,ACC0019329,45538.35,2026-04-06,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000048,ACC0002536,142833.99,2026-06-17,FIELD_VISIT,FIELD_VISIT,AGT0000633,FIELD_CAMPAIGN,SINGLE_TOUCH,0.92
PAYMENT0000049,ACC0020737,58541.48,2026-02-27,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000051,ACC0010133,106757.4,2026-03-29,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000053,ACC0003274,21894.45,2026-03-24,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000054,ACC0022721,100390.75,2026-01-31,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000055,ACC0027754,13040.92,2026-06-06,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000057,ACC0019516,125614.94,2026-03-10,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000059,ACC0026713,99210.03,2026-01-31,SMS,SMS,DIGITAL_SMS,SMS_CAMPAIGN,SINGLE_TOUCH,0.85
PAYMENT0000060,ACC0021307,103316.09,2026-04-19,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000061,ACC0007981,132415.76,2026-02-06,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000062,ACC0000673,9328.84,2026-05-14,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000063,ACC0022545,106733.8,2026-05-28,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000064,ACC0009453,83181.89,2026-01-27,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000066,ACC0009782,7473.12,2026-07-09,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
PAYMENT0000067,ACC0011857,123534.36,2026-01-28,ORGANIC_SELF_SERVE,ORGANIC_SELF_SERVE,ORGANIC,ORGANIC_PAYMENT,NO_TOUCHPOINT,0.5
