table,rows,columns,date_min,date_max,duplicate_rate,null_rate,suspected_pk,suspected_fk,issues
account_status_history,60000,8,2026-01-01,2026-08-08,0.00%,0.00%,history_id,"account_id, borrower_id",None
accounts,30000,11,2024-01-01,2025-11-30,0.00%,0.14%,account_id,borrower_id,None
agent_sessions,15000,7,2026-01-01,2026-08-08,0.00%,0.00%,session_id,"agent_id, device_id",None
agents,30000,8,2024-01-01,2025-11-30,0.00%,0.00%,None,"agent_id, vendor_id",None
borrowers,30600,8,2025-01-01,2026-08-03,1.96%,0.62%,None,borrower_id,Duplicates / Unresolved FKs
call_attempts,120000,9,2026-01-01,2026-08-08,0.00%,0.22%,attempt_id,"account_id, borrower_id, call_id, agent_id, vendor_id",None
call_dispositions,35000,8,2026-01-01,2026-08-08,0.00%,0.00%,disposition_id,"account_id, borrower_id, call_id, agent_id",None
calls,91350,11,2025-12-29,2026-08-12,1.39%,0.18%,None,"call_id, account_id, borrower_id, agent_id, campaign_id, vendor_id",Duplicates / Unresolved FKs
campaigns,120,7,2026-01-01,2026-05-29,0.00%,0.00%,campaign_id,None,None
complaints,8000,9,2026-01-01,2026-08-08,0.00%,0.00%,complaint_id,"account_id, borrower_id",None
daily_targeting,45000,7,2026-01-01,2026-08-08,0.00%,0.00%,target_id,"account_id, campaign_id",None
field_visits,25000,10,2026-01-01,2026-08-08,0.00%,0.10%,visit_id,"account_id, borrower_id, agent_id",None
payments,25500,9,2026-01-01,2026-08-08,1.91%,0.17%,None,"payment_id, account_id, borrower_id, provider_id",Duplicates / Unresolved FKs
promises_to_pay,18000,9,2026-01-01,2026-08-08,0.00%,0.00%,ptp_id,"account_id, borrower_id, agent_id",None
sms_events,45000,8,2026-01-01,2026-08-08,0.00%,0.00%,sms_event_id,"account_id, borrower_id, message_id, provider_id",None
vendor_telephony,15,6,N/A,N/A,0.00%,0.00%,"vendor_id, vendor_account_id",None,None
whatsapp_events,60600,8,2026-01-01,2026-08-08,0.99%,0.00%,None,"whatsapp_event_id, account_id, borrower_id, message_id, provider_id",Duplicates / Unresolved FKs
